"Name","Category","Subcategory","Plan","Cost","Currency","Billing Cycle","Status","Start Date","Renewal Date","Priority","Usage Frequency","URL","Description","Notes","Account Email","Auto Renew","Safe for Work","China Region Only","a16z Rank"
"cutout.pro","Image","Image","Pro","8.99","USD","Monthly","active","2024-08-18","2025-02-18","medium","monthly","https://cutout.pro","AI-powered image editing with background removal and enhancement.","Comprehensive AI image editing suite.","user@example.com","Yes","Yes","No","34"
"DeepAI","Dev","Dev","Pro","5","USD","Monthly","active","2024-08-08","2025-02-08","medium","monthly","https://deepai.org","Platform for AI APIs and development tools.","AI APIs for various development use cases.","user@example.com","Yes","Yes","No","36"
"deepseek","Chat","Chat","Pro","15","USD","Monthly","active","2024-07-20","2025-01-20","medium","weekly","https://deepseek.com","Advanced AI model with strong coding and reasoning capabilities.","Great for coding tasks and technical analysis.","user@example.com","Yes","Yes","No","3"
"Descript","Video","Video","Creator","24","USD","Monthly","active","2024-07-20","2025-01-20","high","weekly","https://descript.com","AI-powered video and audio editing with text-based editing.","Revolutionary text-based video editing platform.","user@example.com","Yes","Yes","No","70"
"Doubao","Chat","Chat","Premium","11.99","USD","Monthly","paused","2024-09-01","2025-03-01","low","rarely","https://doubao.com","ByteDance's AI assistant with strong Chinese language support.","AI with excellent Chinese language capabilities.","user@example.com","Yes","Yes","Yes","12"
"ElevenLabs","Audio","Audio","Creator","22","USD","Monthly","active","2024-07-10","2025-01-10","high","daily","https://elevenlabs.io","AI voice generation and cloning platform with realistic speech synthesis.","Best-in-class AI voice synthesis and cloning.","user@example.com","Yes","Yes","No","21"
"Figma","Design/Prototype","Design/Prototype","Professional","12","USD","Monthly","active","2024-07-10","2025-01-10","high","daily","https://figma.com","Collaborative design platform with AI-powered design features.","Essential design and prototyping platform.","user@example.com","Yes","Yes","No","63"
"GAMMA","Write","Write","Pro","15","USD","Monthly","active","2024-07-18","2025-01-18","medium","weekly","https://gamma.app","AI-powered presentation and document creation platform.","Great for creating presentations with AI assistance.","user@example.com","Yes","Yes","No","25"
"Gemini","Chat","Chat","Advanced","20","USD","Monthly","active","2024-07-15","2025-01-15","medium","weekly","https://gemini.google.com","Google's advanced AI model with multimodal capabilities and integration with Google services.","Excellent for multimodal tasks and Google workspace integration.","user@example.com","Yes","Yes","No","2"
"Google AI Studio","Dev","Dev","Free","0","USD","Monthly","active","2024-01-01","2025-12-31","medium","weekly","https://aistudio.google.com","Google's platform for AI model development and experimentation.","Google's AI development and experimentation platform.","user@example.com","Yes","Yes","No","10"
"Google Labs","Search","Search","Free","0","USD","Monthly","active","2024-01-01","2025-12-31","medium","weekly","https://labs.google.com","Google's experimental AI features and search enhancements.","Access to experimental Google AI features.","user@example.com","Yes","Yes","No","39"
"Granola","Productivity","Productivity","Pro","15","USD","Monthly","active","2024-08-28","2025-02-28","medium","daily","https://granola.ai","AI-powered meeting notes and transcription service.","AI meeting notes and transcription service.","user@example.com","Yes","Yes","No","67"
"Grok","Chat","Chat","Premium","16","USD","Monthly","active","2024-07-10","2025-01-10","medium","weekly","https://grok.x.ai","X's AI assistant with real-time information and unique personality.","AI with real-time web access and personality.","user@example.com","Yes","Yes","No","4"
"Hailuo AI","Other","Other","Pro","16.99","USD","Monthly","paused","2024-09-20","2025-03-20","low","rarely","https://hailuo.ai","AI platform with various generative capabilities.","Multi-purpose AI platform with various capabilities.","user@example.com","Yes","Yes","Yes","45"
"Hugging Face","Dev","Dev","Pro","9","USD","Monthly","active","2024-07-15","2025-01-15","high","daily","https://huggingface.co","Platform for machine learning models and AI development tools.","Essential platform for ML development and model hosting.","user@example.com","Yes","Yes","No","22"
"JanitorAI","Roleplay","Roleplay","Premium","15","USD","Monthly","active","2024-08-20","2025-02-20","low","monthly","https://janitorai.com","AI roleplay platform with various character types and scenarios.","Roleplay AI with diverse character options.","user@example.com","Yes","No","No","8"
"Joi","Roleplay","Roleplay","Premium","14.99","USD","Monthly","paused","2024-10-01","2025-04-01","low","rarely","https://joi.ai","AI companion platform for personalized conversations.","Personalized AI companion platform.","user@example.com","Yes","No","No","48"
"JuicyChat","Roleplay","Roleplay","Premium","11.99","USD","Monthly","canceled","2024-05-30","2024-11-30","low","rarely","https://juicychat.ai","AI chat platform with various roleplay scenarios.","Roleplay chat AI platform.","user@example.com","Yes","No","No","43"
"Kimi","Chat","Chat","Plus","12.99","USD","Monthly","active","2024-08-10","2025-02-10","medium","monthly","https://kimi.ai","AI assistant with long context understanding capabilities.","AI with excellent long context processing.","user@example.com","Yes","Yes","Yes","17"
"KlingAI","Video","Video","Pro","30","USD","Monthly","active","2024-08-05","2025-02-05","high","weekly","https://kling.ai","AI video generation platform with text-to-video capabilities.","Advanced AI video generation from text prompts.","user@example.com","Yes","Yes","Yes","33"
"Leonardo.Ai","Image","Image","Artisan","24","USD","Monthly","active","2024-07-18","2025-01-18","medium","weekly","https://leonardo.ai","AI image generation platform with focus on games and creative content.","Great for game assets and creative image generation.","user@example.com","Yes","Yes","No","40"
"Linear","Planning","Planning","Pro","8","USD","Monthly","active","2024-07-20","2025-01-20","high","daily","https://linear.app","Modern project management and issue tracking with AI features.","Excellent project management tool for development teams.","user@example.com","Yes","Yes","No","56"
"Lovable","Build","Build","Pro","25","USD","Monthly","active","2024-08-15","2025-02-15","medium","monthly","https://lovable.dev","AI-powered app building platform with visual development.","Visual AI app development platform.","user@example.com","Yes","Yes","No","23"
"Magic Patterns","Design/Prototype","Design/Prototype","Pro","15","USD","Monthly","active","2024-08-05","2025-02-05","medium","weekly","https://magicpatterns.com","AI-powered design pattern generator for UI/UX design.","AI-powered design patterns for UI development.","user@example.com","Yes","Yes","No","62"
"manus","Write","Write","Pro","12","USD","Monthly","paused","2024-09-05","2025-03-05","low","rarely","https://manus.app","AI-powered writing and editing assistant for content creators.","Writing assistant for content creators.","user@example.com","Yes","Yes","No","31"
"Meta AI","Chat","Chat","Free","0","USD","Monthly","active","2024-01-01","2025-12-31","low","rarely","https://ai.meta.com","Meta's AI assistant with integration across Meta's platforms.","Free AI assistant integrated with Meta platforms.","user@example.com","Yes","Yes","No","46"
"Midjourney","Image","Image","Standard","30","USD","Monthly","active","2024-07-08","2025-01-08","high","daily","https://midjourney.com","AI image generation platform with artistic and creative capabilities.","Best-in-class AI image generation for creative projects.","user@example.com","Yes","Yes","No","28"
"Mobbin","Design/Prototype","Design/Prototype","Pro","8","USD","Monthly","active","2024-08-15","2025-02-15","medium","weekly","https://mobbin.com","Mobile and web design inspiration platform with AI categorization.","Design inspiration platform for mobile and web.","user@example.com","Yes","Yes","No","64"
"Monica","Chat","Chat","Pro","9.99","USD","Monthly","active","2024-07-25","2025-01-25","medium","weekly","https://monica.im","AI assistant with browser extension and productivity features.","Browser-based AI assistant for productivity.","user@example.com","Yes","Yes","No","49"
"n8n","Automation","Automation","Pro","20","USD","Monthly","active","2024-08-25","2025-02-25","medium","weekly","https://n8n.io","Open-source workflow automation platform with AI integrations.","Open-source workflow automation with AI capabilities.","user@example.com","Yes","Yes","No","52"
"NotebookLM","Write","Write","Free","0","USD","Monthly","active","2024-01-01","2025-12-31","high","daily","https://notebooklm.google.com","Google's AI-powered research and writing assistant.","Excellent AI research assistant from Google.","user@example.com","Yes","Yes","No","13"
"Notion","Productivity","Productivity","Plus","8","USD","Monthly","active","2024-07-05","2025-01-05","high","daily","https://notion.so","All-in-one workspace with AI writing and organization features.","Essential workspace with AI writing capabilities.","user@example.com","Yes","Yes","No","69"
"ourdream.ai","Image","Image","Pro","12.99","USD","Monthly","paused","2024-09-10","2025-03-10","low","rarely","https://ourdream.ai","AI image generation platform focused on creative and artistic content.","Creative AI image generation platform.","user@example.com","Yes","Yes","No","50"
"perplexity","Search","Search","Pro","20","USD","Monthly","active","2024-07-12","2025-01-12","high","daily","https://perplexity.ai","AI-powered search engine with real-time information and citations.","Excellent for research with real-time web search and citations.","user@example.com","Yes","Yes","No","6"
"Photoroom","Image","Image","Pro","9.99","USD","Monthly","active","2024-07-22","2025-01-22","medium","weekly","https://photoroom.com","AI-powered photo editing with background removal and enhancement features.","Excellent for product photos and background removal.","user@example.com","Yes","Yes","No","30"
"Pinecone","Vector DB","Vector DB","Starter","70","USD","Monthly","active","2024-07-12","2025-01-12","high","daily","https://pinecone.io","Vector database for AI applications and semantic search.","Vector database for AI and machine learning applications.","user@example.com","Yes","Yes","No","53"
"Pixelcut","Image","Image","Pro","7.99","USD","Monthly","active","2024-08-08","2025-02-08","medium","monthly","https://pixelcut.ai","AI-powered image editing and design platform.","Quick and easy AI-powered image editing.","user@example.com","Yes","Yes","No","27"
"Poe","Chat","Chat","Subscription","19.99","USD","Monthly","active","2024-08-05","2025-02-05","medium","weekly","https://poe.com","Platform for accessing multiple AI models in one interface.","Access to multiple AI models through one platform.","user@example.com","Yes","Yes","No","37"
"PolyBuzz","Other","Other","Pro","14.99","USD","Monthly","canceled","2024-06-10","2024-12-10","low","rarely","https://polybuzz.ai","AI-powered social media and content analysis platform.","AI platform for social media content analysis.","user@example.com","Yes","Yes","No","18"
"Quark","Utils","Utils","Pro","7.99","USD","Monthly","active","2024-07-22","2025-01-22","medium","weekly","https://quark.app","AI-powered productivity and utility application.","Productivity app with AI-powered features.","user@example.com","Yes","Yes","No","9"
"QuillBot","Write","Write","Premium","8.33","USD","Monthly","active","2024-07-28","2025-01-28","medium","weekly","https://quillbot.com","AI-powered writing assistant with paraphrasing and grammar checking.","Excellent for writing improvement and paraphrasing.","user@example.com","Yes","Yes","No","16"
"Qwen3","Chat","Chat","Pro","14.99","USD","Monthly","active","2024-08-15","2025-02-15","low","monthly","https://qwen.ai","Advanced AI model with multilingual capabilities.","Multilingual AI with strong performance across languages.","user@example.com","Yes","Yes","Yes","20"
"Raycast","Productivity","Productivity","Pro","8","USD","Monthly","active","2024-07-25","2025-01-25","high","daily","https://raycast.com","Productivity launcher with AI-powered features and extensions.","Productivity launcher with powerful AI extensions.","user@example.com","Yes","Yes","No","66"
"Remaker","Video","Video","Pro","15.99","USD","Monthly","active","2024-08-22","2025-02-22","medium","monthly","https://remaker.ai","AI-powered video editing and face swap platform.","AI video editing with face swap capabilities.","user@example.com","Yes","Yes","No","47"
"remove.bg","Image","Image","Pro","9","USD","Monthly","active","2024-07-28","2025-01-28","medium","weekly","https://remove.bg","AI-powered automatic background removal tool.","Best tool for automatic background removal.","user@example.com","Yes","Yes","No","11"
"replit","Build","Build","Hacker","7","USD","Monthly","active","2024-07-12","2025-01-12","medium","weekly","https://replit.com","Online IDE with AI coding assistance and collaborative features.","Great online IDE with AI coding assistance.","user@example.com","Yes","Yes","No","41"
"SEARRT.AI","Image","Image","Pro","18","USD","Monthly","active","2024-08-12","2025-02-12","medium","monthly","https://seaart.ai","AI art generation platform with various artistic styles.","AI art platform with diverse artistic styles.","user@example.com","Yes","Yes","Yes","19"
"SPICYCHAT.AI","Roleplay","Roleplay","Premium","10.99","USD","Monthly","canceled","2024-06-15","2024-12-15","low","rarely","https://spicychat.ai","AI chat platform with spicy roleplay scenarios.","Adult-oriented roleplay AI chat platform.","user@example.com","Yes","No","No","14"
"SUNO","Audio","Audio","Pro","20","USD","Monthly","active","2024-07-25","2025-01-25","medium","weekly","https://suno.ai","AI music generation platform that creates songs from text prompts.","Amazing AI music generation from text descriptions.","user@example.com","Yes","Yes","No","15"
"Supabase","DB","DB","Pro","25","USD","Monthly","active","2024-07-18","2025-01-18","high","daily","https://supabase.com","Open-source database platform with AI and vector capabilities.","Open-source database with AI and vector support.","user@example.com","Yes","Yes","No","71"
"Superhuman","Productivity","Productivity","Individual","30","USD","Monthly","active","2024-07-15","2025-01-15","high","daily","https://superhuman.com","AI-powered email client with advanced productivity features.","Premium AI-powered email client for productivity.","user@example.com","Yes","Yes","No","68"
"TurboScribe","Transcribe","Transcribe","Pro","15","USD","Monthly","active","2024-08-03","2025-02-03","medium","weekly","https://turboscribe.ai","AI-powered transcription service with high accuracy and speed.","Fast and accurate AI transcription service.","user@example.com","Yes","Yes","No","29"
"Unsplash","Image","Image","Unsplash+","10","USD","Monthly","active","2024-08-28","2025-02-28","medium","weekly","https://unsplash.com","High-quality stock photography platform with some AI features.","Premium stock photos with AI search capabilities.","user@example.com","Yes","Yes","No","73"
"v0","Build","Build","Pro","20","USD","Monthly","active","2024-08-10","2025-02-10","medium","weekly","https://v0.dev","Vercel's AI-powered UI generation tool for React components.","AI-generated React components from text descriptions.","user@example.com","Yes","Yes","No","58"
"VEED","Video","Video","Pro","24","USD","Monthly","active","2024-07-15","2025-01-15","high","weekly","https://veed.io","AI-powered video editing platform with automated features.","Great for quick video editing with AI features.","user@example.com","Yes","Yes","No","44"
"Vercel","Deploy","Deploy","Pro","20","USD","Monthly","active","2024-07-08","2025-01-08","high","daily","https://vercel.com","Frontend deployment platform with AI-powered optimization.","Premier platform for frontend deployment and hosting.","user@example.com","Yes","Yes","No","72"
"Warp","Utils","Utils","Team","20","USD","Monthly","active","2024-07-05","2025-01-05","high","daily","https://warp.dev","AI-powered terminal with intelligent command suggestions.","Revolutionary AI-powered terminal for developers.","user@example.com","Yes","Yes","No","60"
"Weaviate","Vector DB","Vector DB","Serverless","25","USD","Monthly","active","2024-08-18","2025-02-18","medium","weekly","https://weaviate.io","Open-source vector database with AI and ML capabilities.","Open-source vector database for AI applications.","user@example.com","Yes","Yes","No","54"
"WisprFlow","Speech-to-text","Speech-to-text","Pro","12.99","USD","Monthly","active","2024-08-22","2025-02-22","medium","weekly","https://wisprflow.ai","AI-powered speech-to-text transcription service.","Advanced speech-to-text AI transcription.","user@example.com","Yes","Yes","No","65"
"Zapier","Automation","Automation","Professional","49","USD","Monthly","active","2024-07-08","2025-01-08","high","daily","https://zapier.com","Automation platform with AI-powered workflow creation.","Essential automation platform for workflow integration.","user@example.com","Yes","Yes","No","51"
"ZeroGPT","Utils","Utils","Pro","9.99","USD","Monthly","active","2024-08-18","2025-02-18","medium","weekly","https://zerogpt.com","AI detection tool for identifying AI-generated content.","Tool for detecting AI-generated text content.","user@example.com","Yes","Yes","No","38"
